霊山寺	鳴門市大麻町板東字霊山寺126	N34.09.21	E134.30.20	1.2
極楽寺	鳴門市大麻町桧字壇の上１２	N34.09.08	E134.29.35	2.8
金泉寺	板野町大寺亀山下６６	N34.08.38	E134.28.16	5.1
大日寺	板野町黒谷５	N34.08.52	E134.26.00	2.1
地蔵寺	板野町羅漢字林東５	N34.08.01	E134.26.05	5.5
安楽寺	上板町引野字寺の西北８	N34.06.53	E134.23.27	1.4
十楽寺	阿波市高尾字法教田５８	N34.07.02	E134.22.50	4.3
熊谷寺	阿波市土成字前田１８	N34.07.10	E134.20.33	2.8
法輪寺	阿波市土成字田中１９８－２	N34.06.03	E134.20.11	5
切幡寺	阿波市観音１２９	N34.06.16	E134.18.25	9.8
藤井寺	吉野川市鴨島町飯尾１５２５	N34.02.55	E134.21.04	13.8
焼山寺	神山町下分字地中３１８	N33.58.54	E134.18.46	26.8
大日寺	徳島市一の宮町西丁２６３	N34.02.05	E134.27.55	2.4
常楽寺	徳島市国府町延命６０６	N34.02.49	E134.28.42	0.8
国分寺	徳島市国府町矢野７１８－１	N34.03.08	E134.28.34	2.3
観音寺	徳島市国府町観音寺４９－２	N34.03.54	E134.28.37	3.6
井戸寺	徳島市国府町井戸字北屋敷80-1	N34.04.54	E134.29.17	20.3
恩山寺	小松島市田野町恩山寺谷４０	N33.56.57	E134.34.51	4.8
立江寺	小松島市立江町字若松１３	N33.57.52	E134.36.30	14.4
鶴林寺	勝浦町大字生名字鷲ケ尾１４	N33.54.37	E134.30.29	6.7
太龍寺	阿南市加茂町龍山２	N33.52.45	E134.31.28	11.8
平等寺	阿南市新野町秋山１７７	N33.50.54	E134.35.07	22.8
薬王寺	日和佐町奥河内字寺前285-1	N33.43.44	E134.31.49	85.2
最御崎寺	室戸市室戸岬町４０５８－１	N33.14.44	E134.10.42	6.8
津照寺	室戸市室津２６４４	N33.17.05	E134.09.03	5.3
金剛頂寺	室戸市元乙５２３	N33.18.13	E134.07.31	30.4
神峯寺	安田町唐浜２５９４	N33.27.51	E133.58.38	39.8
